campaignTitle,title_word_ct,title_word_match,title_word_score,blurb_word_ct,blurb_word_match,blurb_word_score
Monsters! Infinite Strife!,5.00E+00,1.00E+00,4.00E+00,2.30E+01,1.10E+01,2.53E+02
Day of the Dead Calavera Loteria Project Dia De Los Muertos,4.00E+00,3.00E+00,1.30E+01,2.70E+01,1.30E+01,1.38E+03
The only jacket you'll wear for a lifetime,1.20E+01,3.00E+00,6.80E+01,1.80E+01,6.00E+00,7.37E+02
Jake Poe Photography,1.00E+01,4.00E+00,2.90E+01,2.40E+01,1.30E+01,5.02E+02
Open Wing: An Open Source UAV Building Kit,4.00E+00,1.00E+00,4.00E+00,2.60E+01,1.20E+01,7.01E+02
Lowry's lunch stop,9.00E+00,5.00E+00,8.30E+01,2.40E+01,1.00E+01,3.30E+02
MemWars - The Art of Memory.,5.00E+00,1.00E+00,4.00E+00,2.30E+01,1.10E+01,6.90E+02
"Whispers at the Altar - A dark, epic fantasy novel",6.00E+00,1.00E+00,1.00E+00,2.00E+01,9.00E+00,9.94E+02
"""The Salt Pit"" feature film",1.00E+01,4.00E+00,1.03E+02,1.90E+01,8.00E+00,3.18E+02
Scruffy and the Egg: a children's picture book about family,6.00E+00,3.00E+00,6.80E+01,2.50E+01,1.10E+01,8.56E+02
The Bunny Book,1.20E+01,5.00E+00,1.11E+02,2.30E+01,1.10E+01,2.17E+02
Fund Headphone Hair's First Full-Length Album!!,4.00E+00,1.00E+00,7.60E+01,2.10E+01,1.00E+01,5.27E+02
How to Build Tiny,9.00E+00,7.00E+00,1.71E+02,2.10E+01,1.10E+01,1.27E+03
Relax Yourself Bath Bombs,5.00E+00,2.00E+00,4.10E+01,2.70E+01,1.30E+01,1.92E+03
ZeTime: World's first smartwatch with hands over touchscreen,5.00E+00,1.00E+00,4.00E+00,1.40E+01,6.00E+00,3.38E+02
A Certain Smile - Vinyl LP,1.00E+01,7.00E+00,4.12E+02,2.00E+01,1.20E+01,6.69E+02
